pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
6,0,1,3,0,1,4,0,3,0,1,4,0,0,0,0,583903223,0.8713718669197794,0.9017336983224539
6,0,2,4,0,0,4,0,6,0,0,5,1,0,2,0,490568606,0.9977384953225938,0.9988695483814556
6,0,2,4,0,0,4,0,6,0,0,6,0,0,2,0,328138101,0.9973629619817478,0.9986818843431599
6,1,0,1,2,0,3,0,2,2,0,3,1,0,1,0,289131837,0.9719552625570098,0.9895796393791431
6,1,0,1,2,0,3,0,1,2,0,3,0,0,0,0,188586559,0.9803470718554732,0.9927134549119486
6,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,215009391,0.8861566620996825,0.9129489700859125
6,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,144483709,0.8703990444411178,0.9010376767184345
6,1,2,3,0,0,3,0,3,0,0,3,0,0,0,0,147938095,0.989206787238272,0.9946067667348857
6,1,2,4,0,2,6,0,5,0,2,7,0,0,1,0,257282133,0.9987003398702673,0.9993497317643527
7,1,0,5,1,6,12,0,5,1,7,13,0,0,1,0,647253452,0.9305824509194826,0.9737559879896399
7,1,0,1,0,12,13,0,4,1,20,24,1,1,1,0,874843028,0.9760123898704038,0.9911292796939015
7,0,0,1,2,1,4,0,2,2,1,4,1,0,1,0,518913804,0.980089728152034,0.9926338589264155
7,0,0,1,2,1,4,0,1,3,1,5,0,1,1,0,453321952,0.978968507703564,0.9922207690532329
7,0,1,1,0,2,3,0,1,0,2,3,0,0,0,0,205188654,0.8858938506820805,0.9106575369393571
7,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,150464348,0.9034648786232513,0.9252386715073282
7,0,2,3,0,3,6,0,3,0,3,6,0,0,0,0,221215256,0.9977133593589471,0.9988570000936885
7,0,2,2,0,1,3,0,2,0,1,3,0,0,0,0,126607755,0.9989375094430811,0.9994687865209266
7,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,157906536,0.8722774860351307,0.9022510231923602
7,1,1,1,0,2,3,0,1,0,2,3,0,0,0,0,145555549,0.8989644675558653,0.9227454387489139
7,1,2,6,0,1,6,1,6,0,1,6,1,0,0,0,308529456,0.9984886046566369,0.9992431871204209
7,1,2,5,2,0,5,2,5,2,0,5,2,0,0,0,281488765,0.9962875747994059,0.9981441095787692
8,0,0,13,0,0,10,3,18,0,0,14,4,0,5,0,650036903,0.9325042123858585,0.9744126284875183
8,0,0,1,0,7,8,0,1,0,8,8,1,0,1,0,539281487,0.9759083994086946,0.9910885820202221
8,0,1,3,0,2,5,0,3,0,3,6,0,0,1,0,334453254,0.9156159260366279,0.9345113644027787
8,0,1,2,0,4,6,0,2,0,4,6,0,0,0,0,249034764,0.8931342609427307,0.9167329093799682
8,0,2,7,0,4,7,4,9,0,4,8,5,0,2,0,541738833,0.9908633965636829,0.9954368641532018
8,0,2,6,0,0,6,0,7,0,0,6,1,0,1,0,259150409,0.9985125094390636,0.9992561988636719
8,1,0,1,0,10,11,0,2,0,12,11,3,0,3,0,676219827,0.9690820757377928,0.9885815143001225
8,1,1,2,0,2,4,0,2,0,2,4,0,0,0,0,308157701,0.8544258429489856,0.8860311846969942
8,1,1,1,0,1,2,0,1,0,3,4,0,0,2,0,183551790,0.8786602094792509,0.9069949331791751
8,1,2,6,0,1,5,2,6,0,1,5,2,0,0,0,256685099,0.9926727190753751,0.9963229075966098
8,1,2,10,0,0,8,2,11,0,0,9,2,0,1,0,299917041,0.9800278434136412,0.9900200589386096
8,1,0,1,0,13,13,1,8,0,24,28,4,1,6,0,994364527,0.970931317409801,0.9892598624683314
9,0,0,4,0,2,4,2,7,0,3,4,6,0,4,1,992052573,0.7515672883841318,0.8821316048243061
9,0,0,2,0,0,0,2,3,0,0,0,3,0,1,0,258119714,0.6831046191589316,0.8426955309418103
9,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,282488066,0.8849180897881933,0.9113285584585897
9,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,258276172,0.8818966032659838,0.908853643846617
9,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,160575100,0.9981500152841722,0.9990749190554173
9,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,253276041,0.9971626184909712,0.9985809040953734
9,1,0,3,0,4,7,0,11,0,11,17,5,7,6,0,2176238064,0.9623041458845365,0.9861038610386104
9,1,0,1,0,4,5,0,3,0,4,7,0,0,1,0,558604428,0.8352777556915059,0.9321019017545525
9,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,168462123,0.8378158858576068,0.8762620987396421
9,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,155183707,0.8457983868016368,0.8821496340471673
9,1,2,1,0,1,2,0,1,0,2,2,1,0,1,0,604897102,0.9368795394364069,0.9686417626538945
9,1,2,1,0,1,2,0,1,0,1,2,0,0,0,0,368922286,0.9966756307089971,0.9983384346305203
